domain,attack_type,corruption_rate,baseline_recall,poisoned_recall,baseline_prauc,poisoned_prauc,kl_divergence,n_missed_per_1000,recall_degradation
fraud,clean_label,0.04,0.8105263157894737,0.968421052631579,0.8534907581664058,0.7253691720388267,5.42683916840976,0.0529,-0.1578947368421053
fraud,clean_label,0.05,0.8105263157894737,0.936842105263158,0.8534907581664058,0.7356450310238001,5.5162074044802925,0.1057,-0.1263157894736842
fraud,clean_label,0.075,0.8105263157894737,0.968421052631579,0.8534907581664058,0.6747575081279665,5.858310423126111,0.0529,-0.1578947368421053
fraud,clean_label,0.1,0.8105263157894737,0.9894736842105264,0.8534907581664058,0.6737558329936717,6.013246630507995,0.0176,-0.1789473684210526
fraud,backdoor,0.001,0.8105263157894737,0.8105263157894737,0.8534907581664058,0.8349055183770315,0.0004100306404756,0.3172,0.0
fraud,backdoor,0.003,0.8105263157894737,0.8105263157894737,0.8534907581664058,0.8426819367003487,0.0007501107801313,0.3172,0.0
fraud,backdoor,0.005,0.8105263157894737,0.8105263157894737,0.8534907581664058,0.8351612802205348,0.0005643432881002,0.3172,0.0
fraud,backdoor,0.01,0.8105263157894737,0.8105263157894737,0.8534907581664058,0.8404405661097081,0.0004797070037985,0.3172,0.0
fraud,backdoor,0.015,0.8105263157894737,0.8,0.8534907581664058,0.8337864373488041,0.0012448376579157,0.3348,0.0105263157894736
fraud,backdoor,0.02,0.8105263157894737,0.8105263157894737,0.8534907581664058,0.8362272413068599,0.0016117552447589,0.3172,0.0
fraud,backdoor,0.025,0.8105263157894737,0.8105263157894737,0.8534907581664058,0.8386128764026407,0.0005507945854447,0.3172,0.0
fraud,backdoor,0.03,0.8105263157894737,0.8105263157894737,0.8534907581664058,0.8336386006502549,0.0011913567790502,0.3172,0.0
fraud,backdoor,0.04,0.8105263157894737,0.8105263157894737,0.8534907581664058,0.8335549196625027,0.0002059248601799,0.3172,0.0
fraud,backdoor,0.05,0.8105263157894737,0.8105263157894737,0.8534907581664058,0.8334727572017223,0.0002019643977605,0.3172,0.0
fraud,backdoor,0.075,0.8105263157894737,0.8315789473684211,0.8534907581664058,0.8520244347282617,0.0005226516034528,0.282,-0.0210526315789474
fraud,backdoor,0.1,0.8105263157894737,0.8105263157894737,0.8534907581664058,0.8256626949878312,0.0007051570829462,0.3172,0.0
credit,label_flip,0.001,1.0,1.0,1.0,1.0,0.0,0.0,0.0
credit,label_flip,0.003,1.0,1.0,1.0,1.0,0.0,0.0,0.0
credit,label_flip,0.005,1.0,1.0,1.0,1.0,0.0050174418034689,0.0,0.0
credit,label_flip,0.01,1.0,1.0,1.0,1.0,0.0151584544102239,0.0,0.0
credit,label_flip,0.015,1.0,1.0,1.0,1.0,0.0151584543100733,0.0,0.0
credit,label_flip,0.02,1.0,1.0,1.0,1.0,0.0253413947715542,0.0,0.0
credit,label_flip,0.025,1.0,1.0,1.0,1.0,0.0202036357467016,0.0,0.0
credit,label_flip,0.03,1.0,1.0,1.0,1.0,0.0779644348221371,0.0,0.0
credit,label_flip,0.04,1.0,1.0,1.0,1.0,0.0780649281900108,0.0,0.0
credit,label_flip,0.05,1.0,1.0,1.0,1.0,0.1545455228932154,0.0,0.0
